Columnname	meta.xml	nullFraction		IBP tablename	Record1	Record2	Record3	Record4																																							
gi	http://rs.gbif.org/terms/1.0/gbifID	0	Required	obvExternalId	19212360	144832225	144833910	144833930	144836220	144838605	144838920	1057247220	1057249285	1057249595	1057250960	1057251330	1057251885	1057252695	1057252930	1057254525	1057254920	1057255200	1057255670	1057256025	1057257805	1057258830	1057259190	1057259990	1057261855	1057264330	1057264735	1064937405	1064937455	1064937460	1064937580	1065574985	1065574985	1065574985	1065574985	1065575020	1065575020	1065575020	1065575020	1065576365	1065584330	1065584330	1065584330
type	http://purl.org/dc/terms/type	0.167133	Required	type	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage	StillImage
identifier	http://purl.org/dc/terms/identifier	0.167133	Required	url	http://ww2.bgbm.org/herbarium/Externe_Bildsammlungen/AlgenEngels/L-Scans-HBG-Konv/3628-3629.jpg	http://ww2.bgbm.org/herbarium/images/B/10/01/86/75/B_10_0186754.jpg	http://ww2.bgbm.org/herbarium/images/B/-W/00/00/B_-W_00007%20-02%200.jpg	http://ww2.bgbm.org/herbarium/images/B/-W/00/00/B_-W_00006%20-01%200.jpg	http://ww2.bgbm.org/herbarium/images/B/20/00/08/98/B_20_0008981.jpg	http://ww2.bgbm.org/herbarium/images/B/-W/19/74/B_-W_19748%20-01%200.jpg	http://ww2.bgbm.org/herbarium/images/B/-W/19/74/B_-W_19740%20-01%202.jpg	http://www.nhm.ac.uk/services/media-store/asset/9b3eb2395766db55f2f3600fabe3ddfd040b844b/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/56328f436ec8fda432fe0fdadad183aa5f40852c/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/031807eaf65795d110b79cb899d32ed12408a596/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/ed9e525ad5774a200d1a36076f651bed7fb2233d/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/383f52ceb1d2d3bfe1d95e7d9abefe1b8d709a22/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/d5b5939bd994a7435958c9b16e37237e758f252e/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/d91c03d33daccc421d50a4cdd41c4a0f4c09a84a/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/9723605aef21d9641f816d28b4d1a732cfdb5448/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/1db6d93f2a5e371b0b3e80c0fb0af3b7facb874d/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/6aafb49293f12675f447820b0d3411ba4d898d33/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/95c55de880587e903d6474ce9ffa9006bf36ab19/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/cbc6046a3bfc0c3fe5f968c4cb2df65839d04fcc/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/ac3c1587fd491e5731aefc65ba4df1fa672762d8/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/ed9e525ad5774a200d1a36076f651bed7fb2233d/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/f7084346f1dcf2d6f9062562883c3455e736bed3/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/716beef1723c2a702469b34fb3ca78ecb27bca6d/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/1c0ab32384cddb4baa0fb43a293d7c95cb88f6c1/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/acb51494c12f8cb981f0e74ac3b3fb2b8862f819/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/74397e2d453f39771a0ed9265909025b5720f909/contents/preview	http://www.nhm.ac.uk/services/media-store/asset/1900ef98f9d75ab7d9c6784c3fdb09b0c2040b6e/contents/preview	http://mczbase.mcz.harvard.edu/specimen_images/ent-lepidoptera/images/2012_01_19/IMG_110315.JPG	http://mczbase.mcz.harvard.edu/specimen_images/ent-lepidoptera/images/2012_01_19/IMG_110317.JPG	http://mczbase.mcz.harvard.edu/specimen_images/ent-lepidoptera/images/2012_01_19/IMG_110324.JPG	http://mczbase.mcz.harvard.edu/specimen_images/ent-lepidoptera/images/2012_01_19/IMG_110318.JPG	http://static.inaturalist.org/photos/573908/original.JPG?1384265840	http://static.inaturalist.org/photos/573907/original.jpg?1384265834	http://static.inaturalist.org/photos/573904/original.JPG?1384265724	http://static.inaturalist.org/photos/573909/original.jpg?1384265842	http://static.inaturalist.org/photos/577110/original.JPG?1384452977	http://static.inaturalist.org/photos/577111/original.jpg?1384452986	http://static.inaturalist.org/photos/577109/original.JPG?1384452975	http://static.inaturalist.org/photos/577112/original.JPG?1384452988	http://static.inaturalist.org/photos/731462/original.JPG?1395233831	http://static.inaturalist.org/photos/1416091/original.JPG?1418309556	http://static.inaturalist.org/photos/1416092/original.JPG?1418309553	http://static.inaturalist.org/photos/1416093/original.JPG?1418309554
format	http://purl.org/dc/terms/format	0.169833	Required		image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/tiff	image/jpeg	image/jpeg	image/jpeg	image/tiff	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/tiff	image/jpeg	image/tiff	image/tiff	image/jpeg	image/jpeg	image/jpeg	image/tiff	image/jpeg	image/jpeg	image/tiff	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg	image/jpeg
license	http://purl.org/dc/terms/license	0.439233	Required		\N	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	http://creativecommons.org/licenses/by/4.0/	\N	\N	\N	\N	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/	http://creativecommons.org/licenses/by-nc-nd/3.0/
references	http://purl.org/dc/terms/references	0.725367			\N	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=38533	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=39659	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=39658	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=14150	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=53861	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=53462	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	http://www.inaturalist.org/photos/573908	http://www.inaturalist.org/photos/573907	http://www.inaturalist.org/photos/573904	http://www.inaturalist.org/photos/573909	http://www.inaturalist.org/photos/577110	http://www.inaturalist.org/photos/577111	http://www.inaturalist.org/photos/577109	http://www.inaturalist.org/photos/577112	http://www.inaturalist.org/photos/731462	http://www.inaturalist.org/photos/1416091	http://www.inaturalist.org/photos/1416092	http://www.inaturalist.org/photos/1416093
rightsHolder	http://purl.org/dc/terms/rightsHolder	0.735133	Required	contributor	\N	\N	\N	\N	\N	\N	\N	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	The Trustees of the Natural History Museum, London	\N	\N	\N	\N	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	satshot2010	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth
title	http://purl.org/dc/terms/title	0.822667	Required Caption	caption	\N	\N	\N	\N	\N	\N	\N	BM000945004	Zoology Accessions Register: Mollusca: 1938 - 1955: page 43	Zoology Accessions Register: Mammals: 1854 - 1861: page 215	Zoology Accessions Register: Mollusca: 1925 - 1937: page 7	BM000959547	Zoology Accessions Register: Crustacea: 1876 - 1905: page 122	Zoology Accessions Register: Mollusca: 1956 - 1978: page 129	Zoology Accessions Register: Mollusca: 1956 - 1978: page 53	Zoology Accessions Register: Mollusca: 1938 - 1955: page 155	BM001044092	Zoology Accessions Register: Annelida: 1971 - 1983: page 246	BM000959726	BM001014465	Zoology Accessions Register: Mollusca: 1925 - 1937: page 7	Zoology Accessions Register: Annelida & Echinoderms: 1924 - 1936: page 181	Zoology Accessions Register: Reptiles & Fishes: 1878 - 1892: page 293	BM000965456	Zoology Accessions Register: Mollusca: 1938 - 1955: page 189	Zoology Accessions Register: Crustacea: 1935 - 1962: page 48	BM000946641	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
publisher	http://purl.org/dc/terms/publisher	0.890667			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth	satshot2010	ChiefRedEarth	ChiefRedEarth	ChiefRedEarth
source	http://purl.org/dc/terms/source	0.912633			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist	iNaturalist
