Column name	meta.xml	db column name	percentNULL	Comments	Priority	IBP tablename	Comment									
gbifID	http://rs.gbif.org/terms/1.0/gbifID	gbifid	0	Required	P1	externalId	This will be the dataset ID from where we have got the data. Need to add a column that will have externalSource as well.	1.20E+09	1.20E+09	1.20E+09	1.20E+09	1.20E+09	1.20E+09	1.20E+09	1.20E+09	1.20E+09
basisOfRecord	http://rs.tdwg.org/dwc/terms/basisOfRecord	basisofrecord	0	Required	P0	basisOfRecord	This will be enum following TDWG standards	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION	HUMAN_OBSERVATION
countryCode	http://rs.tdwg.org/dwc/terms/countryCode	countrycode	0		X			IN	IN	IN	IN	IN	IN	IN	IN	IN
datasetKey	http://rs.gbif.org/terms/1.0/datasetKey	datasetkey	0	Required	P1	externalDatasetKey	externaldatasetID	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	4fa7b334-ce0d-4e88-aaae-2e0c138d049e
lastInterpreted	http://rs.gbif.org/terms/1.0/lastInterpreted	lastinterpreted	0	 	P1		Timestamp of the last time the record has been (re)interpreted by GBIF. If this has changed, we will have to get the record again from GBIF and update our records	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z
hasCoordinate	http://rs.gbif.org/terms/1.0/hasCoordinate	hascoordinate	0		X			TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hasGeospatialIssues	http://rs.gbif.org/terms/1.0/hasGeospatialIssues	hasgeospatialissues	0		X			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
protocol	http://rs.gbif.org/terms/1.0/protocol	protocol	0	Required	P1	protocol	We will need this, but can be with the dataset. We can have data coming in DwC, TXT or direct APIs.	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE	DWC_ARCHIVE
lastCrawled	http://rs.gbif.org/terms/1.0/lastCrawled	lastcrawled	0	Required	P1	lastCrawled	We should store wrt our system. But we will need this field to know when the aggregator can crawled from the promary source. 	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z	2015-11-10T06:35Z
institutionCode	http://rs.tdwg.org/dwc/terms/institutionCode	institutioncode	0.0087		P1		We will need this as the primary source of data. It is the via code. But we sold use the same name as in standards. It may be useful to have this.	CLO	CLO	CLO	CLO	CLO	CLO	CLO	CLO	CLO
kingdom	http://rs.tdwg.org/dwc/terms/kingdom	kingdom	0.00883333		X			Animalia	Animalia	Animalia	Animalia	Animalia	Animalia	Animalia	Animalia	Animalia
scientificName	http://rs.tdwg.org/dwc/terms/scientificName	scientificname	0.00883333	Required	P0	scientific name	Important	Chloropsis aurifrons (Temminck, 1829)	Turdoides striata (Dumont, 1823)	Leptocoma minima	Ictinaetus malayensis (Temminck, 1822)	Pycnonotus jocosus (Linnaeus, 1758)	Psilopogon MÃ¼ller, 1835	Micropternus brachyurus	Psittacula krameri (Scopoli, 1769)	Pericrocotus flammeus (Forster, 1781)
taxonRank	http://rs.tdwg.org/dwc/terms/taxonRank	taxonrank	0.00883333		X			SPECIES	SPECIES	SPECIES	SPECIES	SPECIES	GENUS	SPECIES	SPECIES	SPECIES
taxonKey	http://rs.gbif.org/terms/1.0/taxonKey	taxonkey	0.00883333		X			5230726	7340537	6088706	5229198	2486151	2478743	5844053	2479226	2486819
kingdomKey	http://rs.gbif.org/terms/1.0/kingdomKey	kingdomkey	0.00883333		X			1	1	1	1	1	1	1	1	1
genericName	http://rs.gbif.org/terms/1.0/genericName	genericname	0.00883333		X			Chloropsis	Turdoides	Leptocoma	Ictinaetus	Pycnonotus	Psilopogon	Micropternus	Psittacula	Pericrocotus
catalogNumber	http://rs.tdwg.org/dwc/terms/catalogNumber	catalognumber	0.0100333	Required	P1	catalogNumber		OBS281420272	OBS281420271	OBS281420276	OBS281420274	OBS281420273	OBS281420275	OBS281423864	OBS281423917	OBS281423840
publishingCountry	http://rs.gbif.org/terms/1.0/publishingCountry	publishingcountry	0.0103333	Required	P1	publishingCountry		US	US	US	US	US	US	US	US	US
collectionCode	http://rs.tdwg.org/dwc/terms/collectionCode	collectioncode	0.0112333	Required	P1	collectionCode		EBIRD	EBIRD	EBIRD	EBIRD	EBIRD	EBIRD	EBIRD	EBIRD	EBIRD
phylum	http://rs.tdwg.org/dwc/terms/phylum	phylum	0.0203667		X			Chordata	Chordata	Chordata	Chordata	Chordata	Chordata	Chordata	Chordata	Chordata
phylumKey	http://rs.gbif.org/terms/1.0/phylumKey	phylumkey	0.0203667		X			44	44	44	44	44	44	44	44	44
class	http://rs.tdwg.org/dwc/terms/class	class	0.0205667		X			Aves	Aves	Aves	Aves	Aves	Aves	Aves	Aves	Aves
classKey	http://rs.gbif.org/terms/1.0/classKey	classkey	0.0205667		X			212	212	212	212	212	212	212	212	212
order	http://rs.tdwg.org/dwc/terms/order	order1	0.0285333		X			Passeriformes	Passeriformes	Passeriformes	Accipitriformes	Passeriformes	Piciformes	Piciformes	Psittaciformes	Passeriformes
orderKey	http://rs.gbif.org/terms/1.0/orderKey	orderkey	0.0285333		X			729	729	729	7191147	729	724	724	1445	729
family	http://rs.tdwg.org/dwc/terms/family	family	0.0329667		X			Irenidae	Sylviidae	Nectariniidae	Accipitridae	Pycnonotidae	Ramphastidae	Picidae	Psittacidae	Campephagidae
familyKey	http://rs.gbif.org/terms/1.0/familyKey	familykey	0.0329667		X			6177	5285	5259	2877	5277	9343	9333	9340	9284
