CONCEPT	CATEGORY	SUBCATEGORY	DESCRIPTION	DATA_TYPE	ENTRIES	ICONS	IMAGES	COMMENTS	CONTRIBUTOR	ATTRIBUTIONS	REFERENCES	LICENSE	AUDIENCE	Extra
TaxonRecordID			Unique identifier of the record within the database.				0							sp code
GlobalUniqueIdentifier			According to DarwinCore: An Uniform Resource Name (URN) used as an unique identifier of the taxon record. Recommended to use a globally unique identifier (GUID) to unambiguously refer to the resource. If an identifier is not provided it will be very difficult to update a resource and preserve linked information. For example, if an object’s metadata is changed, there will not be enough information to determine the newer object is an updated form of an older object unless they share a dc:identifier. It will be assumed the older object was removed and a new one was added, and any annotations associated with the original object will be lost.											
Description	Brief		General description of the taxon. This concept could point out any information about the taxon. Its main goal is summarize the most relevant or attractive characteristics of this taxon to the general public.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		1,2,3,4,5	CC BY-NC-ND	General Audience	
Description	Diagnostic		Lists the features that distinguish this taxon from its closest relatives. May include but is not restricted to synapomorphies (ref: http://en.wikipedia.org/wiki/Synapomorphy)	Text, StillImage, MovingImage, Sound, Icons				In addition to biref description, should there be a field for comprehensive description? All test entries from EOL for this field are under Comprehensive Description.	Chitra Ravi, Content Editor, India Biodiversity Portal					sub/var level of the sp type
Description	Diagnostic	Diagnostic Keys	Structured description using dichotomic  or multientrance keys.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					name of the sub/var level of the sp
Description	Diagnostic	Description	The description is a text not structured	Text, StillImage, MovingImage, Sound, Icons	subtitle of the first description, description of the subtitle 1, subtitle of second description,  description of the subtitle 2, so on up to 10		2.jpg, 4.jpg, 8.jpg, 9.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		6,7,8,9,10	CC BY-NC-ND	General Audience	author name of the sub/var level of sp
Description	SubSpecies Varieties Races		Information on infraranks, *subspecies, varieties, and races*	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Description	SubSpecies Varieties Races	Diagnostic Keys	Structured description using dichotomic  or multientrance keys.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Description	SubSpecies Varieties Races	Description	The description is a text not structured	Text, StillImage, MovingImage, Sound, Icons							11,12	CC BY-SA	Expert	
Nomenclature and Classification	Taxon Record Name	Scientific Name	The full name of the lowest level taxon to which the organism has been identified in the most recent accepted determination, specified as precisely as possible, including name of author, year of authorship, sensu or sec. (according to or following) author, and indication of uncertainty. Conceptually equivalent to a full taxonomic identification as given by the identifier (verbatim). Does not include the identifier name or date of identification	Text			18.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		13,14	CC BY-NC	General Audience	
Nomenclature and Classification	Taxon Record Name	Generic Specific Name	Generic name followed by specific name.	Text	species name				Chitra Ravi, Content Editor, India Biodiversity Portal		15	CC BY	General Audience	
Nomenclature and Classification	Taxon Record Name	Author(Year)	Name of author, year of authorship, sensu or sec. (according to or following) author, and indication of uncertainty.	Text	author name of the sp				Chitra Ravi, Content Editor, India Biodiversity Portal		16	CC BY	General Audience	
Nomenclature and Classification	Taxon Record Name	References	A related resource that references, cites, or otherwise points to the taxon. Recommended to use well-formed bibliographic citations. Strongly recommended to include identifiers that unambiguously refer to the specified resource when available.	Links in following formats.                 bici=""
coden=""
doi=""
eissn=""
handle=""
isbn=""
issn=""
lsid=""
oclc=""
sici=""
url=""
urn=""					Chitra Ravi, Content Editor, India Biodiversity Portal		17	CC BY	Expert	
Nomenclature and Classification	Common Name		All common (vernacular) names by which the taxon is known. Strongly recommended to include a language. Recommended to use ISO 639-2 or ISO 639-1 codes for languages. See http://www.loc.gov/standards/iso639-2/php/code_list.php for more information on these language standards.	Text	Common name									
Nomenclature and Classification	Synonyms		An alternate scientific name by which the taxon is known.	Text	Old names									Old names, if available
Nomenclature and Classification	Taxonomic Hierarchies													
Nomenclature and Classification	uBio Taxomonic Search		Results of a taxonomic heirarchy search on uBIO.	Dump from uBIO or LinkOut to uBIO search results.					Chitra Ravi, Content Editor, India Biodiversity Portal		18	CC BY-NC	General Audience	Common name, if available 
Natural History	Life Cycle		Defines and describes life history of a living organism: the course of obligatory developmental transformations in an organism from fertilised zygote to maturity. Includes stages through which an organism passes, ie, metamorphosis, instars, gametophyte/embryophyte, transitions from sessile to mobile forms. Discusses timing. Morphology of each form is usually described in morhological descriptions.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Natural History	Cyclicity		Description of biorhythms, whether on the scale of seconds, hours, days, or seasons. Those states or conditions characterised by regular repetition in time. Could also cover phenomena such as *plant flowering* or chewing rates. Life cycles are treated in the Life Cycle term. Seasonal migration and reproduction are usually treated separately.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		19	CC BY-NC-SA	General Audience	
Natural History	Reproduction		Description of reproductive physiology and behavior, including mating and life history variables. Includes cues, strategies, restraints, rates.	Text, StillImage, MovingImage, Sound, Icons			6.jpg, 17.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		20,21	CC BY-NC	General Audience	
Natural History	Migration		Description of the periodic movement of organisms from one locality to another (e.g., for breeding). Usually includes locality, timing, and hypothesized purpose.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Natural History	Dispersal		Description of the methods, circumstances, and timing of dispersal (includes both natal dispersal and interbreeding dispersal?)	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		22,23,24,25,26			
Natural History	Life Expectancy		Any information on longevity, including the average period an organism can be expected to survive.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		27	CC BY	General Audience	
Natural History	Size		Narrative description of average size, max, range; type of size (perimeter, length, volume, weight ...).	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		28	CC BY	General Audience	
Natural History	Growth		Description of growth rates, allometries, parameters known to be predictive, morphometrics. Can also include hypotheses of paedomorphy or neoteny, etc.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		29		General Audience	
Natural History	Morphology		Description of the general appearance of the taxon; e.g body plan, shape and color of external features, typical postures. May be referred to as or include habit, defined as the characteristic mode of growth or occurrence associated to its environment, particularly for plants. Comprising its size, shape, texture and orientation. Example: tree, shrubs, herbs. May also be referred to include anatomy.	Text, StillImage, MovingImage, Sound, Icons		habit.jpg	1.jpg, 3.jpg, 5.jpg, 10.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		30	CC BY-NC	General Audience	
Natural History	Look Alikes		Other taxa that this taxon may be confused with, and characters useful for their differentiation. Useful for identification and comparison. Common in invasive species communities. List taxa using associatedTaxon property.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		31	CC BY	Expert	
Natural History	Physiology		Description of physiological processes. Includes metabolic rates, and systems such as circulation, respiration, excretion, immunity, neurophysiology.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Natural History	Ecology		Relations that living organisms have with respect to each other and their natural environment. Variables of interest to ecologists include the composition, distribution, amount (biomass), number, and changing states of organisms within and among ecosystems.	Text, StillImage, MovingImage, Sound, Icons	ecology details]				Chitra Ravi, Content Editor, India Biodiversity Portal		32,33	CC BY-NC-SA	General Audience	vertical/horizontal display of the photo1
Natural History	Behaviour		Description of behaviour and behaviour patterns of an organism, including actions and reactions of organism in relation to its biotic and abiotic environment. Includes communication, perception, modes and mechanisms of locomotion, as well as long term strategies (except mating and reproductive strategies, covered under reproduction).	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					2
